gene_name	Dex FPKM	Untreated FPKM	Ln[Fold Change]	stat	P-Value	padj	Locus	log2FoldChange
METTL7A	83.26	17.33	-2.26	6.8	1e-11	6.9e-09	chr12:51318533-51326300	-3.260490792409057
IRS2	24.99	5.55	-2.17	6.67	2.6e-11	1.7e-08	chr13:110406183-110438914	-3.1306482387290506
RASL11A	53.65	9.85	-2.45	6.62	3.7e-11	2.2e-08	chr13:27844463-27847827	-3.534602850177961
FGD4	9.57	2.05	-2.23	6.53	6.4e-11	3.6e-08	chr12:32655040-32798984	-3.2172099411823885
INHBB	11.18	0.97	-3.53	6.54	6.3e-11	3.6e-08	chr2:121103718-121109383	-5.0927134943380405
NNMT	357.28	77.94	-2.2	6.48	9.4e-11	5.1e-08	chr11:114166534-114183238	-3.17392908995572
KCNK6	15.76	2.21	-2.83	6.45	1.1e-10	5.6e-08	chr19:38810483-38819649	-4.082826965715767
GLUL	345.16	43.7	-2.98	6.45	1.2e-10	5.8e-08	chr1:182350838-182361341	-4.299231221849111
KLF9	22.89	5.41	-2.08	6.37	1.9e-10	9.1e-08	chr9:72999512-73029573	-3.000805685049044
LOC100507632	50.97	11.98	-2.09	6.36	2e-10	9.3e-08	chr8:57430877-57472382	-3.0152326354579335
ITGA10	4.21	0.27	-3.95	6.31	2.7e-10	1.2e-07	chr1:145524989-145543868	-5.698645411511406
CORO6	38.56	7.08	-2.44	6.24	4.4e-10	1.9e-07	chr17:27920526-27948441	-3.520175899769071
ADRA1B	9.92	0.65	-3.93	6.16	7.3e-10	3.1e-07	chr5:159343739-159400017	-5.669791510693627
IMPA2	32.53	6.03	-2.43	6.12	9.4e-10	3.8e-07	chr18:11981426-12030885	-3.505748949360181
ZBTB16	15.28	0.08	-7.56	6.07	1.3e-09	5.2e-07	chr11:113930430-114121397	-10.906774509120563
FOXO1	8.44	1.72	-2.3	6.04	1.5e-09	5.9e-07	chr13:41129800-41240734	-3.3181985940446155
ADAMTS5	27.12	6.31	-2.1	6.02	1.7e-09	6.4e-07	chr21:28290230-28339439	-3.0296595858668236
PDK4	17.87	2.97	-2.59	6.02	1.8e-09	6.4e-07	chr7:95212808-95225925	-3.736580155902415
ENDOD1	29.12	7.5	-1.96	6.0	2e-09	7e-07	chr11:94822973-94865815	-2.827682280142368
SORT1	54.34	11.74	-2.21	5.94	2.9e-09	9.9e-07	chr1:109852187-109940563	-3.188356040364609
CACNB2	10.18	0.99	-3.36	5.92	3.3e-09	1.1e-06	chr10:18429605-18830688	-4.847455337386917
ADARB1	26.7	5.18	-2.37	5.9	3.6e-09	1.2e-06	chr21:46494492-46646478	-3.4191872469068434
NEXN	111.76	27.65	-2.02	5.9	3.7e-09	1.2e-06	chr1:78354199-78409578	-2.914243982595706
NAV3	4.71	0.99	-2.25	5.89	3.8e-09	1.2e-06	chr12:78225068-78606790	-3.2460638420001677
DCXR	62.27	12.13	-2.36	5.83	5.7e-09	1.7e-06	chr17:79993756-79995573	-3.4047602964979538
STC1	17.81	3.33	-2.42	5.83	5.6e-09	1.7e-06	chr8:23699433-23712320	-3.4913219989512916
TRNP1	41.28	10.39	-1.99	5.8	6.7e-09	2e-06	chr1:27320194-27327377	-2.870963131369037
NOV	2.1	12.69	2.6	-5.78	7.4e-09	2.1e-06	chr8:120428551-120436678	3.751007106311305
IGFBP2	120.5	27.25	-2.14	5.76	8.3e-09	2.3e-06	chr2:217498126-217529158	-3.087367387502382
MAMDC2	15.17	3.23	-2.23	5.71	1.1e-08	3.1e-06	chr9:72658496-72873790	-3.2172099411823885
SUN2	74.85	19.18	-1.96	5.71	1.1e-08	3.1e-06	chr22:39130718-39152024	-2.827682280142368
FSTL3	54.78	14.73	-1.89	5.7	1.2e-08	3.2e-06	chr19:676388-683392	-2.7266936272801408
LRRC17	8.48	40.86	2.27	-5.67	1.5e-08	3.8e-06	chr7:102453307-102715288	3.274917742817947
TBX18	9.65	34.23	1.83	-5.65	1.6e-08	4.2e-06	chr6:85444156-85473899	2.6401319248268034
SCD	4.33	17.17	1.99	-5.64	1.7e-08	4.3e-06	chr10:102106771-102124588	2.870963131369037
BDKRB2	24.15	91.08	1.92	-5.62	1.9e-08	4.7e-06	chr14:96671134-96710666	2.7699744785068097
PTX3	389.65	83.36	-2.22	5.61	2e-08	4.8e-06	chr3:156977531-157221415	-3.2027829907734993
WNT2	1.04	9.36	3.17	-5.61	2.1e-08	4.9e-06	chr7:116916685-116963343	4.5733432796180145
GPRC5B	54.74	14.75	-1.89	5.57	2.5e-08	5.8e-06	chr16:19870292-19896151	-2.7266936272801408
HSPA2	13.52	2.34	-2.53	5.55	2.9e-08	6.7e-06	chr14:65007185-65009954	-3.650018453449077
FAM107A	3.96	0.16	-4.67	5.53	3.1e-08	7e-06	chr3:58549844-58563491	-6.737385840951459
TJP2	86.27	21.72	-1.99	5.54	3.1e-08	7e-06	chr9:71736179-71870124	-2.870963131369037
PPP1R14A	32.96	3.76	-3.13	5.53	3.3e-08	7.1e-06	chr19:38741876-38747231	-4.515635477982456
SLC7A14	0.24	1.87	2.98	-5.48	4.1e-08	8.9e-06	chr3:170177341-170303863	4.299231221849111
FER1L6	0.33	3.05	3.2	-5.48	4.3e-08	9.1e-06	chr8:124864226-125132302	4.616624130844683
MTSS1	22.92	5.96	-1.94	5.39	6.9e-08	1.4e-05	chr8:125563027-125740730	-2.798828379324589
CLDN11	26.48	89.44	1.76	-5.34	9.3e-08	1.9e-05	chr3:170136652-170152479	2.539143271964576
VCAM1	1.0	11.98	3.58	-5.33	1e-07	2e-05	chr1:101185195-101204601	5.16484824638249
CYR61	163.09	45.48	-1.84	5.32	1.1e-07	2.1e-05	chr1:86046443-86049648	-2.654558875235693
ADAMTS14	2.03	10.55	2.38	-5.31	1.1e-07	2.1e-05	chr10:72432558-72522195	3.433614197315733
USP53	78.27	17.52	-2.16	5.3	1.1e-07	2.2e-05	chr4:120133781-120216673	-3.1162212883201614
GPM6B	34.28	4.98	-2.78	5.26	1.5e-07	2.8e-05	chrX:13789061-13956831	-4.010692213671319
ADAMTS1	476.33	96.16	-2.31	5.18	2.2e-07	4.1e-05	chr21:28208605-28217728	-3.3326255444535056
TRPC6	8.64	2.25	-1.94	5.14	2.8e-07	5.2e-05	chr11:101322294-101454659	-2.798828379324589
RASL11B	5.56	0.34	-4.03	5.12	3.1e-07	5.6e-05	chr4:53728494-53733002	-5.814061014782523
LMCD1	147.37	47.59	-1.63	5.03	4.8e-07	8.6e-05	chr3:8543510-8609806	-2.35159291664901
MMD	41.54	13.56	-1.62	5.02	5.3e-07	9.3e-05	chr17:53469973-53499341	-2.337165966240121
CCKAR	11.48	49.63	2.11	-5.01	5.5e-07	9.7e-05	chr4:26483017-26492042	3.044086536275713
ACSL1	24.8	8.13	-1.61	5.0	5.8e-07	9.9e-05	chr4:185676748-185747215	-2.3227390158312313
PKDCC	41.65	13.22	-1.66	5.0	5.8e-07	9.9e-05	chr2:42275160-42285668	-2.394873767875679
STEAP1	94.51	31.97	-1.56	4.94	7.6e-07	0.00013	chr7:89783688-89794141	-2.250604263786783
ACSS1	11.88	3.09	-1.94	4.94	8e-07	0.00013	chr20:24986865-25038818	-2.798828379324589
TIMP4	9.7	1.34	-2.85	4.93	8.2e-07	0.00014	chr3:12045861-12233532	-4.111680866533546
CREB5	1.29	5.22	2.01	-4.91	9e-07	0.00015	chr7:28338939-28865511	2.8998170321868164
COL11A1	3.34	0.65	-2.36	4.91	9.2e-07	0.00015	chr1:103342022-103574052	-3.4047602964979538
TNFAIP6	2.94	16.46	2.49	-4.91	9.3e-07	0.00015	chr2:152214105-152236562	3.5923106518135195
CRABP2	35.22	108.32	1.62	-4.88	1.1e-06	0.00017	chr1:156669399-156675608	2.337165966240121
PLXNA4	5.35	0.69	-2.96	4.88	1.1e-06	0.00017	chr7:131808090-132333447	-4.270377321031332
MT1X	34.21	3.85	-3.15	4.85	1.3e-06	0.00019	chr16:56716381-56718108	-4.544489378800235
APCDD1	40.74	11.84	-1.78	4.78	1.8e-06	0.00027	chr18:10454624-10488698	-2.567997172782355
DNAJB4	36.69	12.72	-1.53	4.75	2e-06	0.0003	chr1:78470635-78482995	-2.207323412560114
ACTG2	65.47	16.5	-1.99	4.73	2.2e-06	0.00033	chr2:74120092-74146780	-2.870963131369037
GGT5	15.93	3.04	-2.39	4.73	2.2e-06	0.00033	chr22:24615621-24641110	-3.4480411477246227
IGDCC4	0.93	4.26	2.2	-4.69	2.8e-06	0.0004	chr15:65673824-65715410	3.17392908995572
LEP	2.6	0.29	-3.17	4.69	2.8e-06	0.0004	chr7:127881330-127897682	-4.5733432796180145
TMEM35	8.2	26.27	1.68	-4.68	2.8e-06	0.0004	chrX:100333835-100351355	2.4237276686934583
CD302	63.78	20.02	-1.67	4.67	2.9e-06	0.00041	chr2:160625138-160761267	-2.4093007182845687
MT1E	56.37	12.19	-2.21	4.67	3.1e-06	0.00043	chr16:56659584-56661024	-3.188356040364609
AOX1	55.39	18.74	-1.56	4.64	3.4e-06	0.00047	chr2:201450730-201536217	-2.250604263786783
GDF15	8.71	32.47	1.9	-4.64	3.4e-06	0.00047	chr19:18496967-18499986	2.7411205776890304
CEBPD	127.92	46.33	-1.47	4.64	3.6e-06	0.00048	chr8:48649475-48650726	-2.1207617101067764
DAAM2	27.77	8.55	-1.7	4.62	3.8e-06	0.00051	chr6:39760158-39902290	-2.4525815695112376
TSLP	0.63	4.64	2.88	-4.62	3.8e-06	0.00051	chr5:110405777-110413722	4.154961717760215
TEX2	44.43	15.85	-1.49	4.61	4e-06	0.00053	chr17:62224794-62340653	-2.1496156109245557
ADAM12	3.58	12.58	1.81	-4.6	4.2e-06	0.00054	chr10:127702901-128077127	2.611278024009024
AQP3	0.84	6.28	2.91	-4.6	4.2e-06	0.00054	chr9:33441151-33447631	4.198242568986884
FST	25.46	77.46	1.61	-4.6	4.2e-06	0.00054	chr5:52776263-52782304	2.3227390158312313
TCEAL4	155.16	53.59	-1.53	4.57	4.8e-06	0.00061	chrX:102840418-102842655	-2.207323412560114
PER3	0.54	2.67	2.32	-4.53	5.9e-06	0.00074	chr1:7844762-7905237	3.347052494862395
PRSS35	1.33	9.61	2.85	-4.5	6.7e-06	0.00083	chr6:84222193-84235421	4.111680866533546
SAT1	219.58	80.68	-1.44	4.47	7.7e-06	0.00095	chrX:23801274-23804327	-2.0774808588801075
PHC2	75.17	27.4	-1.46	4.43	9.5e-06	0.0011	chr1:33789223-33841194	-2.1063347596978867
SPON1	23.51	6.8	-1.79	4.43	9.5e-06	0.0011	chr11:13984183-14289679	-2.582424123191245
KLF5	3.28	0.55	-2.59	4.41	1e-05	0.0012	chr13:73633141-73651676	-3.736580155902415
AFAP1L1	7.65	2.32	-1.72	4.4	1.1e-05	0.0012	chr5:148651400-148721367	-2.481435470329017
NKD1	1.42	0.26	-2.48	4.41	1.1e-05	0.0012	chr16:50582240-50674771	-3.5778837014046294
PIK3R1	31.02	10.4	-1.58	4.4	1.1e-05	0.0012	chr5:67511583-67597649	-2.2794581646045624
CDC42EP3	18.93	6.87	-1.46	4.39	1.1e-05	0.0013	chr2:37870742-37899326	-2.1063347596978867
CTPS	13.87	4.7	-1.56	4.38	1.2e-05	0.0014	chr1:41445006-41478235	-2.250604263786783
PIEZO2	0.18	1.17	2.69	-4.38	1.2e-05	0.0014	chr18:10670243-11148761	3.880849659991312
INPP5A	33.07	12.21	-1.44	4.36	1.3e-05	0.0015	chr10:134351352-134596984	-2.0774808588801075
PRODH	2.14	0.03	-6.18	4.36	1.3e-05	0.0015	chr22:18900286-18924066	-8.915855352693793
TNFRSF11B	71.02	207.57	1.55	-4.34	1.4e-05	0.0016	chr8:119935795-119964383	2.2361773133778935
FBN2	101.92	22.9	-2.15	4.33	1.5e-05	0.0016	chr5:127593600-127873735	-3.1017943379112713
PXDC1	50.26	19.22	-1.39	4.33	1.5e-05	0.0017	chr6:3722835-3752246	-2.0053461068356593
RND2	0.75	3.62	2.27	-4.31	1.6e-05	0.0018	chr17:41177257-41184058	3.274917742817947
NID1	106.2	35.97	-1.56	4.3	1.7e-05	0.0018	chr1:236139131-236228481	-2.250604263786783
ALPK3	0.5	0.06	-3.14	4.28	1.8e-05	0.0019	chr15:85359910-85416713	-4.5300624283913455
NR4A3	2.79	0.6	-2.22	4.28	1.8e-05	0.0019	chr9:102584136-102629173	-3.2027829907734993
HPS5	12.64	4.27	-1.56	4.28	1.9e-05	0.002	chr11:18300216-18343721	-2.250604263786783
PDPN	26.76	7.5	-1.84	4.28	1.9e-05	0.002	chr1:13910251-13944452	-2.654558875235693
EPHB6	37.07	14.16	-1.39	4.25	2.1e-05	0.0022	chr7:142552791-142568847	-2.0053461068356593
ATF3	13.16	3.25	-2.02	4.25	2.1e-05	0.0022	chr1:212738675-212794119	-2.914243982595706
OXTR	8.83	2.29	-1.95	4.25	2.2e-05	0.0022	chr3:8792094-8811300	-2.8132553297334786
RAB11FIP1	15.9	5.43	-1.55	4.23	2.3e-05	0.0024	chr8:37716464-37757015	-2.2361773133778935
CITED2	281.66	91.69	-1.62	4.22	2.5e-05	0.0025	chr6:139693396-139695785	-2.337165966240121
RAPGEF5	1.01	0.14	-2.83	4.22	2.5e-05	0.0025	chr7:22157907-22396533	-4.082826965715767
CDH6	5.86	15.82	1.43	-4.21	2.5e-05	0.0025	chr5:31193761-31329253	2.063053908471218
COL4A1	22.61	8.87	-1.35	4.18	2.9e-05	0.0028	chr13:110801309-110959496	-1.9476383052001007
NEGR1	14.47	5.47	-1.4	4.18	2.9e-05	0.0028	chr1:71868624-72748277	-2.019773057244549
LIF	0.58	3.08	2.41	-4.17	3e-05	0.0029	chr22:30636441-30642796	3.476895048542402
ITGA11	5.02	14.7	1.55	-4.17	3.1e-05	0.003	chr15:68594041-68724492	2.2361773133778935
PRKAG2	26.62	9.4	-1.5	4.16	3.2e-05	0.003	chr7:151253200-151576308	-2.1640425613334453
ADCY1	0.43	2.07	2.27	-4.15	3.3e-05	0.0031	chr7:45614124-45762714	3.274917742817947
SIPA1L2	0.21	1.33	2.67	-4.14	3.5e-05	0.0032	chr1:232533711-232651243	3.8519957591735325
PHGDH	16.13	41.76	1.37	-4.12	3.8e-05	0.0036	chr1:120254418-120286849	1.97649220601788
AMOT	0.82	3.82	2.22	-4.11	3.9e-05	0.0036	chrX:112018104-112084043	3.2027829907734993
HMOX1	42.56	105.9	1.32	-4.11	3.9e-05	0.0036	chr22:35777059-35790207	1.9043574539734318
SLC16A12	0.76	0.05	-3.88	4.11	3.9e-05	0.0036	chr10:91190050-91295313	-5.597656758649178
SMARCD2	51.94	21.09	-1.3	4.11	3.9e-05	0.0036	chr17:61909440-61920351	-1.8755035531556525
NEDD9	27.21	8.36	-1.7	4.11	4e-05	0.0036	chr6:11183530-11382581	-2.4525815695112376
GALNTL2	186.27	62.66	-1.57	4.1	4e-05	0.0036	chr3:16216183-16271253	-2.2650312141956728
PGBD5	0.53	3.21	2.59	-4.1	4.1e-05	0.0036	chr1:230457391-230513391	3.736580155902415
CDON	0.93	3.1	1.73	-4.06	4.9e-05	0.0043	chr11:125826712-125933187	2.4958624207379065
MXRA5	11.49	29.25	1.35	-4.05	5.1e-05	0.0045	chrX:3226608-3264684	1.9476383052001007
MYADM	127.17	44.72	-1.51	4.05	5.2e-05	0.0045	chr19:54369610-54379689	-2.178469511742335
FZD8	3.2	0.6	-2.42	4.01	6e-05	0.0052	chr10:35927176-35930362	-3.4913219989512916
PLA2G4A	0.46	2.71	2.56	-4.0	6.2e-05	0.0054	chr1:186798031-186958113	3.6932993046757465
CILP	11.79	4.5	-1.39	4.0	6.4e-05	0.0055	chr15:65488336-65503840	-2.0053461068356593
GFPT2	21.31	8.43	-1.34	3.99	6.5e-05	0.0055	chr5:179727699-179780315	-1.933211354791211
FAM171B	5.54	14.18	1.36	-3.99	6.7e-05	0.0057	chr2:187558788-187628512	1.9620652556089904
AHCTF1	7.51	3.0	-1.33	3.98	6.8e-05	0.0057	chr1:247002401-247094726	-1.9187844043823215
C3orf64	22.1	9.22	-1.26	3.98	7e-05	0.0058	chr3:69024367-69062774	-1.817795751520094
CPA4	0.79	4.09	2.37	-3.97	7.2e-05	0.0059	chr7:129932973-129964020	3.4191872469068434
SSH2	12.89	5.41	-1.25	3.96	7.5e-05	0.0062	chr17:27952964-28435470	-1.8033688011112043
C5orf62	31.85	13.18	-1.27	3.96	7.5e-05	0.0062	chr5:150157507-150176298	-1.8322227019289836
AIF1L	0.32	2.12	2.73	-3.95	7.7e-05	0.0062	chr9:133971862-133998539	3.9385574616268704
DLL4	1.69	0.13	-3.74	3.95	7.7e-05	0.0062	chr15:41221530-41231258	-5.395679452924724
GPR68	0.17	1.57	3.18	-3.95	7.8e-05	0.0062	chr14:91698875-91720224	4.587770230026904
HSD17B6	1.75	8.31	2.24	-3.95	7.8e-05	0.0062	chr12:57157107-57181574	3.2316368915912785
LHFPL2	10.46	24.79	1.24	-3.96	7.6e-05	0.0062	chr5:77781037-77944648	1.7889418507023147
SLC6A9	1.12	5.36	2.26	-3.94	8.1e-05	0.0064	chr1:44457279-44497134	3.260490792409057
C10orf10	650.61	206.68	-1.65	3.93	8.5e-05	0.0065	chr10:45455218-45490172	-2.3804468174667894
CHST7	14.65	5.13	-1.51	3.93	8.5e-05	0.0065	chrX:46433191-46457838	-2.178469511742335
GCNT4	4.85	1.27	-1.94	3.93	8.4e-05	0.0065	chr5:74323288-74326724	-2.798828379324589
SCARA5	6.97	2.11	-1.72	3.93	8.5e-05	0.0065	chr8:27727398-27850369	-2.481435470329017
STON1	19.09	7.46	-1.36	3.93	8.4e-05	0.0065	chr2:48757063-49003656	-1.9620652556089904
SLC7A6	20.26	7.86	-1.37	3.93	8.7e-05	0.0066	chr16:68298418-68344868	-1.97649220601788
C4orf46	3.74	10.15	1.44	-3.91	9.1e-05	0.0069	chr4:159587830-159593202	2.0774808588801075
OLFML2A	5.43	14.27	1.4	-3.91	9.1e-05	0.0069	chr9:127539436-127577159	2.019773057244549
ABLIM1	6.94	2.66	-1.38	3.91	9.3e-05	0.0069	chr10:116190868-116444414	-1.9909191564267694
EPHB2	1.52	5.24	1.79	-3.91	9.3e-05	0.0069	chr1:23037330-23241823	2.582424123191245
NCOA3	11.87	4.52	-1.39	3.91	9.3e-05	0.0069	chr20:46130600-46285621	-2.0053461068356593
GXYLT2	6.17	18.41	1.58	-3.9	9.8e-05	0.0072	chr3:72937384-73024522	2.2794581646045624
TGFBR2	180.2	65.23	-1.47	3.89	9.8e-05	0.0072	chr3:30647993-30735633	-2.1207617101067764
MOB3B	0.72	0.1	-2.87	3.89	9.9e-05	0.0072	chr9:27325206-27529850	-4.140534767351325
COL4A4	1.34	0.33	-2.0	3.89	0.0001	0.0073	chr2:227867426-228029275	-2.8853900817779268
RNF144B	2.19	0.49	-2.15	3.88	0.0001	0.0074	chr6:18387580-18469105	-3.1017943379112713
FOXO3	39.42	16.3	-1.27	3.88	0.0001	0.0075	chr6:108881025-109005971	-1.8322227019289836
GCLM	26.98	11.39	-1.24	3.88	0.00011	0.0075	chr1:94352589-94375012	-1.7889418507023147
DAPK2	13.39	4.71	-1.51	3.87	0.00011	0.0076	chr15:64199234-64338521	-2.178469511742335
SLC14A1	0.06	1.02	4.08	-3.87	0.00011	0.0076	chr18:43304091-43332485	5.886195766826971
MAP1LC3C	8.28	1.38	-2.59	3.87	0.00011	0.0077	chr1:242158791-242162385	-3.736580155902415
LRRC15	0.6	2.86	2.24	-3.87	0.00011	0.0077	chr3:194075975-194090472	3.2316368915912785
COL7A1	10.24	4.35	-1.23	3.86	0.00011	0.0078	chr3:48601505-48632593	-1.774514900293425
CYTH3	53.05	22.48	-1.24	3.86	0.00012	0.008	chr7:6201411-6312242	-1.7889418507023147
FIBIN	54.05	22.87	-1.24	3.85	0.00012	0.0083	chr11:27015627-27018632	-1.7889418507023147
DIO2	6.46	2.33	-1.47	3.84	0.00012	0.0084	chr14:80663867-80921810	-2.1207617101067764
ODZ4	1.09	2.94	1.43	-3.83	0.00013	0.0087	chr11:78364327-79151695	2.063053908471218
HIGD1A	45.42	19.19	-1.24	3.83	0.00013	0.0088	chr3:42824399-42846027	-1.7889418507023147
BDKRB1	3.49	13.29	1.93	-3.83	0.00013	0.0088	chr14:96722546-96731100	2.7844014289156993
BMPER	2.7	7.38	1.45	-3.8	0.00014	0.0096	chr7:33944522-34195484	2.091907809288997
FAM46C	0.2	1.17	2.54	-3.8	0.00014	0.0096	chr1:118148603-118171011	3.6644454038579672
CPM	7.74	2.82	-1.46	3.8	0.00015	0.0097	chr12:69244955-69357020	-2.1063347596978867
MARCKS	35.76	84.48	1.24	-3.8	0.00015	0.0097	chr6:114178526-114184652	1.7889418507023147
NFIL3	42.94	18.46	-1.22	3.8	0.00015	0.0097	chr9:94171326-94186144	-1.7600879498845354
WARS	25.74	63.28	1.3	-3.79	0.00015	0.0097	chr14:100800124-100842680	1.8755035531556525
RHOB	98.0	42.8	-1.2	3.77	0.00016	0.01	chr2:20646834-20649201	-1.7312340490667562
ARHGAP28	2.72	7.56	1.48	-3.76	0.00017	0.011	chr18:6834431-6915712	2.135188660515666
RCAN2	3.29	11.47	1.8	-3.76	0.00017	0.011	chr6:46188466-46459804	2.5968510736001345
HSPB3	9.55	1.65	-2.53	3.75	0.00017	0.011	chr5:53751430-53752214	-3.650018453449077
TMEM119	31.04	69.94	1.17	-3.76	0.00017	0.011	chr12:108983621-108991894	1.6879531978400872
CD82	84.31	36.18	-1.22	3.75	0.00018	0.011	chr11:44587140-44641315	-1.7600879498845354
STARD7	68.18	29.14	-1.23	3.75	0.00018	0.011	chr2:96850602-96908362	-1.774514900293425
WFDC1	13.22	3.79	-1.8	3.75	0.00018	0.011	chr16:84328400-84363450	-2.5968510736001345
ZCCHC5	1.97	0.24	-3.04	3.75	0.00018	0.011	chrX:77911565-77914825	-4.385792924302449
RAP2B	2.55	6.4	1.33	-3.74	0.00018	0.011	chr3:152880028-152886263	1.9187844043823215
ANXA4	137.24	59.8	-1.2	3.72	0.0002	0.013	chr2:69969126-70053596	-1.7312340490667562
CDKN2B	3.07	8.62	1.49	-3.71	0.00021	0.013	chr9:21994789-22121093	2.1496156109245557
RAI2	30.37	11.08	-1.45	3.7	0.00022	0.013	chrX:17818168-17879457	-2.091907809288997
KANK1	14.1	5.9	-1.26	3.7	0.00022	0.013	chr9:504702-746103	-1.817795751520094
SCN7A	39.02	15.26	-1.36	3.7	0.00022	0.013	chr2:167260082-167343481	-1.9620652556089904
ABHD5	18.32	8.19	-1.16	3.68	0.00024	0.014	chr3:43732374-43764217	-1.6735262474311976
STOM	269.99	101.41	-1.41	3.66	0.00025	0.015	chr9:124101352-124132545	-2.0342000076534386
SYNPO2	59.81	17.52	-1.77	3.66	0.00025	0.015	chr4:119809995-119982402	-2.5535702223734655
LBH	305.38	110.41	-1.47	3.65	0.00026	0.016	chr2:30454396-30482899	-2.1207617101067764
RASD1	4.96	0.92	-2.43	3.65	0.00026	0.016	chr17:17397752-17399709	-3.505748949360181
CALCOCO2	52.38	23.54	-1.15	3.65	0.00027	0.016	chr17:46908371-46942229	-1.6590992970223077
POTEE	13.3	5.23	-1.35	3.64	0.00027	0.016	chr2:131975923-132022416	-1.9476383052001007
C1QTNF1	23.55	9.82	-1.26	3.64	0.00027	0.016	chr17:77015290-77045870	-1.817795751520094
MEST	5.62	20.36	1.86	-3.64	0.00028	0.016	chr7:130126015-130371406	2.6834127760534723
IFIT1	2.57	8.57	1.74	-3.63	0.00028	0.017	chr10:91152321-91163744	2.5102893711467966
SLC39A10	3.37	8.31	1.3	-3.63	0.00028	0.017	chr2:196521531-196602426	1.8755035531556525
CADPS2	11.99	4.64	-1.37	3.62	0.00029	0.017	chr7:121958477-122526813	-1.97649220601788
LAMA3	9.19	3.66	-1.33	3.62	0.0003	0.017	chr18:21269561-21535029	-1.9187844043823215
ZHX3	19.86	9.01	-1.14	3.62	0.0003	0.017	chr20:39807088-39928739	-1.644672346613418
LGI3	0.63	0.01	-5.44	3.6	0.00031	0.018	chr8:22004342-22014344	-7.8482610224359615
ZCCHC6	13.98	6.28	-1.15	3.6	0.00032	0.018	chr9:88902647-88969402	-1.6590992970223077
TSPAN8	2.03	0.11	-4.17	3.59	0.00033	0.019	chr12:71518876-71551779	-6.016038320506977
CORIN	2.02	0.52	-1.97	3.59	0.00033	0.019	chr4:47596017-47840059	-2.842109230551258
ENPP1	5.05	2.03	-1.32	3.59	0.00033	0.019	chr6:132129155-132216295	-1.9043574539734318
EPHB3	2.51	6.86	1.45	-3.59	0.00033	0.019	chr3:184279586-184300196	2.091907809288997
GADD45B	19.89	7.34	-1.44	3.59	0.00033	0.019	chr19:2476122-2478257	-2.0774808588801075
SAMD4A	27.89	12.06	-1.21	3.59	0.00033	0.019	chr14:55034329-55260033	-1.7456609994756458
TUBB	16.1	36.25	1.17	-3.59	0.00033	0.019	chr6:30688156-30693195	1.6879531978400872
RPS6KA5	0.28	1.66	2.55	-3.58	0.00034	0.019	chr14:91337166-91526993	3.6788723542668564
LDB2	6.91	16.76	1.28	-3.57	0.00035	0.019	chr4:16503164-16900424	1.8466496523378733
TUBA1A	145.51	343.69	1.24	-3.57	0.00035	0.019	chr12:49578582-49582861	1.7889418507023147
LRRC16A	16.24	7.0	-1.21	3.57	0.00036	0.02	chr6:25279655-25620758	-1.7456609994756458
DHRS3	138.29	59.89	-1.21	3.56	0.00037	0.02	chr1:12627938-12677820	-1.7456609994756458
