gene_id	gene_name	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N061011_untreated	N061011_dex
ENSG00000240453.1	RP11-206L10.10	0	0	0	0	0	0	0	0
ENSG00000177757.1	FAM87B	2	4	8	1	6	5	3	3
ENSG00000225880.4	LINC00115	17	13	20	16	18	22	18	14
ENSG00000228794.4	RP11-206L10.11	204	241	221	143	194	333	235	333
ENSG00000230368.2	FAM41C	0	0	0	0	0	0	1	1
ENSG00000234711.1	TUBB8P11	0	1	0	0	0	0	0	0
ENSG00000269308.1	AL645608.2	0	0	0	0	0	0	0	0
ENSG00000272438.1	RP11-54O7.16	0	0	2	0	0	0	2	0
ENSG00000230699.2	RP11-54O7.1	4	0	8	1	5	4	4	2
ENSG00000241180.1	RP11-54O7.2	0	0	0	0	0	0	0	0
ENSG00000223764.2	RP11-54O7.3	30	15	49	2	36	16	54	14
ENSG00000187634.6	SAMD11	146	77	116	6	116	47	58	22
ENSG00000268179.1	AL645608.1	0	1	0	0	2	0	1	0
ENSG00000188976.6	NOC2L	988	1127	1082	566	1122	1598	721	827
ENSG00000187961.9	KLHL17	225	245	185	75	290	313	156	195
ENSG00000187583.6	PLEKHN1	19	9	13	6	17	19	9	14
ENSG00000187642.5	C1orf170	1	3	4	0	13	4	5	2
ENSG00000272512.1	RP11-54O7.17	0	2	0	2	0	3	0	0
ENSG00000188290.6	HES4	16	29	8	4	4	15	3	11
ENSG00000231702.2	RP11-54O7.10	0	1	1	0	0	0	0	0
ENSG00000224969.1	RP11-54O7.11	0	0	1	0	1	2	1	1
ENSG00000187608.5	ISG15	318	234	214	90	199	228	142	173
ENSG00000188157.9	AGRN	2358	1800	2270	983	2621	3186	1607	1471
ENSG00000242590.1	RP11-54O7.14	0	0	0	0	0	0	0	0
ENSG00000217801.5	RP11-465B22.3	0	4	1	0	1	2	2	2
ENSG00000273443.1	RP11-54O7.18	0	0	0	0	0	1	0	0
ENSG00000237330.2	RNF223	0	0	0	0	0	0	0	0
ENSG00000131591.13	C1orf159	111	110	137	64	151	196	127	121
ENSG00000223823.1	RP11-465B22.5	0	0	0	0	0	0	0	0
ENSG00000207730.1	MIR200B	0	0	0	0	0	0	0	0
ENSG00000207607.1	MIR200A	0	0	0	0	0	0	0	0
ENSG00000198976.1	MIR429	0	0	0	0	0	0	0	0
ENSG00000272141.1	RP11-465B22.8	0	1	0	0	0	0	0	0
ENSG00000205231.1	TTLL10-AS1	0	0	0	0	0	0	0	0
ENSG00000162571.9	TTLL10	0	0	0	0	0	0	0	0
ENSG00000186891.9	TNFRSF18	1	0	1	0	4	7	0	0
ENSG00000186827.6	TNFRSF4	4	0	1	0	2	1	1	2
ENSG00000078808.12	SDF4	4430	4235	5399	2958	5926	7335	4452	4707
ENSG00000176022.3	B3GALT6	430	386	451	245	517	779	340	313
ENSG00000184163.3	FAM132A	9	9	19	8	7	17	15	16
ENSG00000260179.1	RP5-902P8.12	2	5	5	2	2	3	3	1
ENSG00000160087.16	UBE2J2	624	617	693	386	701	849	558	571
ENSG00000230415.1	RP5-902P8.10	14	7	17	2	13	23	12	15
ENSG00000162572.15	SCNN1D	153	109	142	66	140	154	99	94
ENSG00000131584.14	ACAP3	1694	1249	1358	475	1195	942	1061	890
ENSG00000169972.7	PUSL1	187	177	190	89	193	240	148	136
ENSG00000127054.14	CPSF3L	1129	1125	1257	661	1260	1502	904	1027
ENSG00000240731.1	RP5-890O3.9	35	26	30	21	34	38	38	24
ENSG00000224051.2	GLTPD1	316	282	370	207	372	425	275	280
ENSG00000169962.4	TAS1R3	11	5	9	4	12	10	8	12
ENSG00000107404.13	DVL1	1119	1133	1089	646	1017	1286	963	1094
ENSG00000162576.12	MXRA8	11118	10669	12372	7334	10427	13042	9498	10680
ENSG00000175756.9	AURKAIP1	692	705	716	378	736	1091	575	611
ENSG00000223663.2	RP5-890O3.3	0	0	1	0	1	0	1	2
ENSG00000221978.7	CCNL2	4052	4473	3905	2773	4475	6061	3423	4295
ENSG00000224870.3	RP4-758J18.2	225	232	318	146	263	352	132	168
ENSG00000242485.1	MRPL20	529	549	659	382	634	867	502	480
ENSG00000264293.1	RN7SL657P	0	0	0	0	0	0	0	0
ENSG00000272455.1	RP4-758J18.13	47	31	48	28	59	62	43	50
ENSG00000235098.4	ANKRD65	29	47	36	14	17	17	25	39
ENSG00000225905.1	RP4-758J18.7	0	0	2	2	1	2	4	0
ENSG00000205116.3	TMEM88B	1	0	2	0	3	1	0	0
ENSG00000225285.1	RP4-758J18.10	3	2	1	0	1	0	1	1
ENSG00000179403.10	VWA1	179	137	123	59	79	115	151	133
ENSG00000215915.5	ATAD3C	3	1	2	1	3	2	1	2
ENSG00000160072.15	ATAD3B	273	303	235	162	211	388	188	196
ENSG00000197785.9	ATAD3A	263	307	238	145	303	454	229	230
ENSG00000205090.4	TMEM240	49	55	67	29	62	76	55	61
ENSG00000160075.10	SSU72	1616	1633	1970	1208	1968	2570	1424	1544
ENSG00000215791.2	AL645728.2	0	0	0	0	0	0	0	0
ENSG00000215014.3	AL645728.1	6	8	12	6	8	13	11	7
ENSG00000236684.1	AL645728.3	0	0	0	0	0	0	0	0
ENSG00000228594.1	C1orf233	157	184	114	71	59	110	77	126
ENSG00000272106.1	RP11-345P4.9	74	49	69	42	85	59	78	57
ENSG00000197530.8	MIB2	1041	820	1032	386	1067	1153	853	804
ENSG00000189409.8	MMP23B	14	11	8	3	7	16	16	12
ENSG00000248333.3	CDK11B	561	536	510	317	512	657	459	452
ENSG00000272004.1	RP11-345P4.10	0	0	0	1	0	1	0	0
ENSG00000189339.7	SLC35E2B	1807	1122	2173	862	1740	1437	1199	1029
ENSG00000269737.1	RP11-345P4.7	26	15	20	11	28	18	11	11
ENSG00000269227.1	RP11-345P4.6	7	5	8	2	7	6	7	6
ENSG00000215914.3	MMP23A	1	0	1	2	0	0	1	1
ENSG00000008128.18	CDK11A	65	66	51	21	27	40	68	97
ENSG00000268575.1	RP1-283E3.8	86	65	92	49	84	61	142	145
ENSG00000227775.3	RP1-283E3.4	248	142	137	66	216	168	215	188
ENSG00000215790.2	SLC35E2	139	70	155	65	31	36	142	80
ENSG00000008130.11	NADK	1029	1495	1114	1095	1110	1873	893	1993
ENSG00000078369.13	GNB1	6563	6208	8204	5118	7873	11186	5969	7040
ENSG00000231050.1	RP1-140A9.1	4	0	3	4	1	4	5	0
ENSG00000169885.5	CALML6	20	21	19	11	9	15	24	20
ENSG00000178821.8	TMEM52	3	5	3	1	2	4	3	2
ENSG00000142609.13	C1orf222	0	0	0	0	0	1	1	0
ENSG00000233542.1	RP11-547D24.1	0	0	0	0	0	0	0	0
ENSG00000187730.6	GABRD	0	0	0	0	0	0	0	0
ENSG00000226969.1	RP11-547D24.3	0	0	0	0	0	0	0	0
ENSG00000067606.11	PRKCZ	9	10	13	6	11	10	9	8
ENSG00000271806.1	RP5-892K4.1	0	0	0	0	0	0	0	0
ENSG00000182873.4	RP11-181G12.2	24	17	48	16	39	53	25	25
ENSG00000162585.12	C1orf86	675	647	672	346	533	728	526	472
ENSG00000269554.1	AL590822.2	0	0	0	0	0	0	0	0
ENSG00000203301.2	AL590822.1	8	3	14	6	6	12	12	0
ENSG00000243558.1	RP11-181G12.5	0	0	0	0	0	0	0	0
ENSG00000234396.3	RP11-181G12.4	0	1	0	1	1	1	0	0
ENSG00000157933.9	SKI	2164	1779	2256	1267	2428	3017	2379	2217
ENSG00000116151.9	MORN1	47	48	49	22	48	54	42	39
ENSG00000272161.1	RP4-713A8.1	1	1	0	0	0	0	0	0
ENSG00000269753.1	AL589739.1	1	1	1	0	2	0	0	0
ENSG00000269896.1	RP4-740C4.6	42	27	16	12	24	34	33	19
ENSG00000238240.2	RP4-740C4.5	0	0	0	0	0	0	0	0
ENSG00000272420.1	RP4-740C4.7	3	2	4	4	0	0	4	3
ENSG00000271921.1	RP4-740C4.9	2	1	0	3	3	6	4	1
ENSG00000271847.1	RP4-740C4.8	3	2	2	0	4	8	4	1
ENSG00000178642.5	AL513477.1	0	0	0	0	0	0	0	0
ENSG00000157916.14	RER1	2114	2182	2476	1647	2440	3461	1823	2128
ENSG00000157911.5	PEX10	221	158	299	120	312	325	221	155
ENSG00000149527.13	PLCH2	3	2	4	3	2	3	3	4
ENSG00000224387.1	RP3-395M20.2	0	0	1	0	0	0	0	0
ENSG00000229393.1	RP3-395M20.3	0	0	0	1	0	1	1	0
ENSG00000157881.9	PANK4	325	332	280	150	329	449	240	268
ENSG00000197921.5	HES5	0	0	0	0	0	0	0	0
ENSG00000272449.1	RP3-395M20.12	2	2	2	1	0	0	1	0
ENSG00000238164.2	RP3-395M20.8	12	3	8	4	2	7	12	5
ENSG00000157873.13	TNFRSF14	692	496	515	205	515	492	557	472
ENSG00000225931.3	RP3-395M20.7	1	0	1	0	0	1	1	0
ENSG00000228037.1	RP3-395M20.9	1	2	1	0	0	2	1	2
ENSG00000157870.10	FAM213B	341	406	367	228	369	475	266	315
ENSG00000142606.11	MMEL1	0	1	2	0	1	0	1	0
ENSG00000237058.1	RP13-436F16.1	0	0	0	0	0	0	0	0
ENSG00000215912.7	TTC34	11	3	14	3	16	9	5	1
ENSG00000233234.1	RP11-740P5.2	0	0	0	0	0	0	0	0
ENSG00000231630.1	RP11-740P5.3	0	0	0	0	0	0	0	0
ENSG00000169717.5	ACTRT2	0	0	0	0	0	0	0	0
ENSG00000177133.6	LINC00982	10	12	11	2	7	4	5	8
ENSG00000256761.1	AL008733.1	0	0	0	0	0	0	0	0
ENSG00000142611.12	PRDM16	85	58	67	24	41	49	47	43
ENSG00000226286.1	RP1-163G9.2	0	0	0	0	0	0	0	0
ENSG00000272235.1	RP11-22L13.1	3	2	0	1	3	1	1	0
ENSG00000130762.10	ARHGEF16	1	0	2	0	2	1	1	0
ENSG00000272088.1	RP11-168F9.2	0	0	0	0	0	0	0	0
ENSG00000162591.11	MEGF6	406	254	966	499	375	648	1049	1258
ENSG00000207776.1	MIR551A	0	0	0	0	0	0	0	0
ENSG00000238260.1	RP11-46F15.2	7	7	9	2	11	11	10	16
ENSG00000158109.10	TPRG1L	1841	1557	2103	1354	2162	2354	1579	1990
ENSG00000116213.11	WRAP73	317	325	321	218	367	498	207	261
ENSG00000078900.10	TP73	7	3	9	5	3	2	3	5
ENSG00000227589.1	RP5-1092A11.5	0	0	0	0	0	0	0	0
ENSG00000235131.1	RP5-1092A11.2	0	1	0	0	0	0	0	0
ENSG00000227372.6	TP73-AS1	850	641	1036	537	917	1037	844	724
ENSG00000162592.4	CCDC27	2	0	4	0	1	0	2	0
ENSG00000235169.3	SMIM1	28	10	24	10	15	15	28	15
ENSG00000130764.5	LRRC47	738	640	789	449	742	969	579	634
ENSG00000266075.1	RN7SL574P	3	0	1	1	0	0	3	0
ENSG00000272153.1	RP1-286D6.5	14	6	15	5	18	24	12	2
ENSG00000116198.8	CEP104	515	592	569	374	766	865	478	635
ENSG00000169598.11	DFFB	92	83	98	46	93	113	72	84
ENSG00000264428.1	AL691523.1	0	0	0	0	0	0	0	0
ENSG00000198912.6	C1orf174	333	339	410	226	371	528	274	291
ENSG00000236423.1	RP13-15E13.1	1	1	3	1	1	3	1	3
ENSG00000233304.1	RP13-614K11.1	0	0	0	0	0	0	0	0
ENSG00000226374.1	RP13-614K11.2	0	0	0	0	0	0	0	0
ENSG00000229280.1	RP11-374C13.1	0	0	0	0	0	0	0	0
ENSG00000235054.1	RP5-1166F10.1	0	0	0	0	0	0	0	0
ENSG00000227169.2	RP1-37J18.1	0	0	0	0	0	0	0	0
ENSG00000232596.1	RP1-37J18.2	0	0	0	0	0	0	0	0
ENSG00000196581.6	AJAP1	0	0	0	0	0	0	0	0
ENSG00000231510.1	RP11-542C10.1	0	0	0	0	0	0	0	0
ENSG00000260972.1	RP1-58B11.1	0	0	0	0	0	0	0	0
ENSG00000264341.1	MIR4417	0	0	0	0	0	0	0	0
ENSG00000236948.1	RP11-154H17.1	0	0	0	0	0	0	0	0
ENSG00000216045.2	AL356693.1	0	0	0	0	0	0	0	0
ENSG00000264101.1	MIR4689	0	0	0	0	0	0	0	0
ENSG00000131697.13	NPHP4	280	187	205	109	225	319	222	213
ENSG00000266687.1	AL356261.1	0	0	0	0	0	0	0	0
ENSG00000069424.10	KCNAB2	170	182	214	140	188	257	182	222
ENSG00000268332.1	AL035406.1	0	0	0	0	0	0	0	0
ENSG00000116254.13	CHD5	9	10	16	9	5	10	6	8
ENSG00000116251.5	RPL22	5681	5143	6270	3464	5756	6241	4369	4110
ENSG00000226944.1	RP1-120G22.11	2	3	3	3	6	2	5	7
ENSG00000158286.8	RNF207	66	80	163	66	106	121	65	83
ENSG00000116237.11	ICMT	2615	2420	3060	1882	2905	3903	2030	2142
ENSG00000225077.2	LINC00337	1	1	1	0	2	3	1	2
ENSG00000173673.7	HES3	0	0	0	0	0	0	0	0
ENSG00000158292.6	GPR153	932	387	843	259	854	557	855	508
ENSG00000097021.15	ACOT7	503	460	664	345	568	718	519	455
ENSG00000271746.1	RP1-202O8.3	0	0	0	0	0	0	0	0
ENSG00000069812.7	HES2	5	3	5	0	2	0	4	0
ENSG00000187017.10	ESPN	0	1	0	0	1	0	2	0
ENSG00000265392.1	MIR4252	0	0	0	0	0	0	0	0
ENSG00000231868.1	RP1-202O8.2	0	0	0	0	0	0	0	0
ENSG00000215788.5	TNFRSF25	27	15	33	11	50	43	51	31
ENSG00000171680.16	PLEKHG5	136	62	168	56	273	215	205	115
ENSG00000162408.10	NOL9	376	324	372	203	344	440	284	281
ENSG00000253022.1	RNU6-731P	0	0	0	0	0	0	0	0
ENSG00000229519.2	RP11-58A11.2	0	1	0	0	2	2	4	0
ENSG00000173662.15	TAS1R1	4	7	9	2	8	3	2	3
ENSG00000204859.7	ZBTB48	204	185	272	132	225	277	174	198
ENSG00000162413.12	KLHL21	2264	2250	1829	2030	2371	2809	1764	2699
ENSG00000116273.5	PHF13	636	625	612	482	664	837	624	639
ENSG00000041988.11	THAP3	196	179	242	122	222	253	202	174
ENSG00000007923.11	DNAJC11	574	545	723	401	848	1038	551	570
ENSG00000228750.1	RP11-242F24.1	0	0	0	0	0	0	0	0
ENSG00000239166.1	snoU13	0	0	0	0	0	0	0	0
ENSG00000237436.1	RP11-312B8.1	2	3	2	3	3	4	1	1
ENSG00000171735.14	CAMTA1	283	252	299	186	324	440	268	248
ENSG00000227950.1	RP11-312B8.2	0	0	1	0	0	0	0	0
ENSG00000237365.1	RP11-334N17.1	0	0	0	0	0	0	0	0
ENSG00000207056.1	RNU1-8P	0	0	0	0	0	0	0	0
ENSG00000237402.1	CAMTA1-IT1	1	0	0	0	0	0	0	0
ENSG00000237728.1	RP3-453P22.2	0	0	1	0	0	0	0	0
ENSG00000225126.1	RP4-549F15.1	0	0	0	0	0	0	0	0
ENSG00000270171.1	RP11-338N10.1	0	0	0	0	0	0	0	0
ENSG00000270035.1	RP11-338N10.2	0	0	0	0	0	0	0	0
ENSG00000269978.1	RP11-338N10.3	0	0	0	0	0	0	0	0
ENSG00000049245.8	VAMP3	3166	2808	3838	2685	3845	4866	2824	3337
ENSG00000269925.1	RP3-467L1.6	10	11	12	8	11	9	9	6
ENSG00000049246.10	PER3	314	45	324	85	434	88	397	54
ENSG00000236266.1	RP3-467L1.4	6	0	1	1	3	2	2	0
ENSG00000049247.9	UTS2	0	0	2	0	2	1	0	0
ENSG00000049249.4	TNFRSF9	0	0	1	0	1	0	0	0
ENSG00000270330.1	RP5-892F13.2	0	0	0	0	0	0	0	0
ENSG00000116288.8	PARK7	2479	2447	2562	1487	2523	3211	1883	1921
ENSG00000200344.1	Y_RNA	1	0	1	1	1	0	1	0
ENSG00000116285.8	ERRFI1	835	3133	1287	4340	1504	7795	767	5922
ENSG00000238290.1	RP11-431K24.1	0	0	1	0	2	3	1	5
ENSG00000232848.1	CTA-215D11.4	0	0	0	0	1	1	0	0
ENSG00000229305.1	RP11-431K24.2	0	0	0	0	0	0	0	0
ENSG00000200975.1	RNU1-7P	0	0	0	0	0	0	0	0
ENSG00000227634.1	RP11-431K24.3	0	0	0	0	0	0	0	1
ENSG00000233645.1	RP11-431K24.4	0	1	0	0	0	0	0	0
ENSG00000265414.1	RN7SL729P	0	0	1	0	0	0	0	0
ENSG00000251977.1	RNU6-991P	0	0	0	0	0	0	0	0
ENSG00000162426.10	SLC45A1	109	202	98	146	110	339	94	249
ENSG00000252254.1	Y_RNA	0	1	0	1	0	1	0	0
ENSG00000142599.13	RERE	2653	2634	3773	1919	3018	4309	2878	3152
ENSG00000232912.1	RP5-1115A15.1	3	1	2	1	3	6	1	6
ENSG00000221083.1	SNORA77	0	0	0	0	0	0	0	0
ENSG00000270282.1	RP5-1115A15.2	0	0	1	0	0	0	1	0
ENSG00000234619.1	RP4-633I8.1	0	0	1	0	0	1	1	1
ENSG00000224315.2	RP4-633I8.2	0	0	0	0	0	0	0	0
ENSG00000222511.1	Y_RNA	0	0	0	0	0	1	0	0
ENSG00000226545.1	RP4-633I8.3	0	0	0	0	0	0	0	0
ENSG00000228423.2	RP4-633I8.4	0	0	0	0	0	0	0	0
ENSG00000229716.2	RP11-185B14.1	0	0	0	0	0	0	0	0
ENSG00000074800.9	ENO1	17054	15530	14899	7273	13010	32186	9116	10368
ENSG00000236269.1	ENO1-IT1	5	3	1	1	0	3	3	2
ENSG00000230679.1	ENO1-AS1	1	0	0	1	0	0	1	0
ENSG00000201725.1	RNU6-304P	0	0	0	0	0	0	0	0
ENSG00000238249.1	HMGN2P17	1	0	0	0	0	0	0	0
ENSG00000232208.2	RP3-477M7.5	0	0	0	0	0	0	0	0
ENSG00000232663.2	RP3-477M7.6	0	0	0	0	0	0	0	0
ENSG00000131686.10	CA6	0	0	0	0	0	0	0	0
ENSG00000265141.1	RN7SL451P	0	0	0	0	0	0	0	0
ENSG00000197241.3	SLC2A7	0	0	1	0	0	0	0	0
ENSG00000142583.13	SLC2A5	131	35	204	99	76	342	49	35
ENSG00000252404.1	SCARNA16	0	0	0	0	0	0	0	0
ENSG00000180758.10	GPR157	79	68	85	48	83	104	92	85
ENSG00000207865.1	MIR34A	3	0	1	2	3	4	2	2
ENSG00000228526.2	RP3-510D11.1	2	3	2	1	5	5	3	1
ENSG00000234546.2	RP3-510D11.2	82	38	82	35	115	88	58	43
ENSG00000049239.8	H6PD	5716	5500	6831	5149	4800	8999	5328	7196
ENSG00000252841.1	Z98044.1	0	1	0	0	0	0	0	0
ENSG00000171621.9	SPSB1	1043	725	672	484	900	661	653	936
ENSG00000252956.1	RNA5SP40	0	0	0	0	0	0	0	0
ENSG00000235263.1	RP13-392I16.1	0	0	0	0	0	0	0	0
ENSG00000171612.6	SLC25A33	49	55	39	32	51	75	38	54
ENSG00000231181.1	RP13-15M17.1	2	0	1	1	0	2	1	2
ENSG00000188807.8	TMEM201	142	101	135	76	141	182	137	115
ENSG00000171608.11	PIK3CD	266	340	350	314	366	768	281	618
ENSG00000179840.5	C1orf200	0	0	0	0	0	0	0	0
ENSG00000233268.3	RP11-558F24.2	0	0	0	0	0	0	0	0
ENSG00000231789.2	RP11-558F24.4	42	26	56	15	61	69	27	31
ENSG00000171603.12	CLSTN1	5748	6112	7670	5041	7093	10828	5423	7591
ENSG00000271264.1	RP11-558F24.6	0	0	0	0	0	0	0	0
ENSG00000178585.10	CTNNBIP1	239	182	231	168	251	298	231	242
ENSG00000223989.1	RP11-84A14.5	0	0	0	0	0	0	0	0
ENSG00000162441.7	LZIC	452	269	433	170	492	472	365	307
ENSG00000228150.1	RP11-84A14.4	0	3	6	1	4	8	5	4
ENSG00000173614.9	NMNAT1	349	237	372	221	367	389	294	261
ENSG00000202415.1	RN7SKP269	0	1	1	0	0	0	1	0
ENSG00000265521.1	MIR5697	0	0	0	0	0	0	0	0
ENSG00000241326.1	RP11-807G9.2	0	0	0	0	0	0	0	0
ENSG00000162444.11	RBP7	0	0	3	0	2	0	0	0
ENSG00000225786.2	AL590639.1	0	0	0	0	0	0	0	0
ENSG00000130939.14	UBE4B	2377	1690	2665	1586	2758	3029	2032	2616
ENSG00000224340.1	RP11-496H15.2	0	0	0	0	0	0	0	0
ENSG00000233623.2	PGAM1P11	0	0	0	0	0	0	0	0
ENSG00000201746.1	RNU6-828P	0	1	0	0	0	0	0	1
ENSG00000054523.12	KIF1B	1568	1492	1684	1127	1718	2086	1365	1692
ENSG00000264881.1	MIR1273D	0	0	0	0	0	0	0	0
ENSG00000199562.1	RNU6-37P	0	0	0	0	0	0	0	0
ENSG00000264501.1	RN7SL731P	0	0	0	0	0	0	0	0
ENSG00000265945.1	RN7SL721P	0	0	0	0	0	0	0	0
ENSG00000142657.16	PGD	2997	2890	3629	2125	4280	3528	2051	2572
ENSG00000271989.1	RP4-736L20.3	0	0	0	0	0	0	0	0
ENSG00000175279.17	APITD1	59	72	102	49	72	92	70	67
ENSG00000251503.3	APITD1-CORT	0	0	0	0	0	0	0	0
ENSG00000241563.2	CORT	2	1	1	1	9	2	1	3
ENSG00000160049.7	DFFA	939	736	947	489	1199	1293	804	753
ENSG00000203469.2	RP5-1113E3.3	0	0	0	0	0	0	0	0
ENSG00000142655.8	PEX14	341	293	389	192	369	501	254	284
ENSG00000243267.2	RN7SL614P	0	0	0	0	0	1	0	1
ENSG00000130940.10	CASZ1	0	1	7	3	15	15	4	3
ENSG00000272078.1	RP4-734G22.3	0	0	0	0	5	3	0	1
ENSG00000225158.2	RP11-340B24.3	0	0	0	0	0	0	0	0
ENSG00000175262.10	C1orf127	0	0	4	1	0	0	1	0
ENSG00000215785.2	CFL1P6	0	0	1	0	0	0	0	0
ENSG00000264181.1	AL713997.1	0	0	0	0	0	0	0	0
ENSG00000207213.1	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000120948.11	TARDBP	2671	2029	3261	1571	3445	3617	2172	1949
ENSG00000009724.12	MASP2	38	28	66	24	42	41	47	36
ENSG00000271895.1	RP4-635E18.8	57	54	55	42	53	54	49	42
ENSG00000116649.5	SRM	1004	1254	1121	1311	1099	1878	744	1532
ENSG00000171824.9	EXOSC10	1059	1292	1359	1286	1201	1724	915	1938
ENSG00000226849.1	RP4-635E18.7	2	1	2	1	2	7	1	4
ENSG00000230337.1	RP4-635E18.6	2	0	6	7	1	7	1	6
ENSG00000198793.8	MTOR	1587	1745	1775	2006	2144	3342	1262	2559
ENSG00000225602.1	MTOR-AS1	1	0	0	1	0	0	0	0
ENSG00000253086.1	RNU6-537P	1	0	0	0	0	0	0	0
ENSG00000271794.1	snoU13	0	0	0	0	0	0	0	0
ENSG00000171819.4	ANGPTL7	4	50	19	543	1	10	14	1065
ENSG00000207451.1	RNU6-291P	0	0	0	1	0	0	0	0
ENSG00000238173.1	RPL39P6	0	0	0	0	0	0	0	0
ENSG00000120942.9	UBIAD1	218	256	234	248	267	461	206	397
ENSG00000238199.1	UBE2V2P3	0	1	0	0	2	0	0	0
ENSG00000224338.2	RP11-149P14.1	0	0	0	0	0	0	0	0
ENSG00000204624.6	PTCHD2	0	0	4	7	1	0	4	1
ENSG00000235643.1	RP1-69M21.2	1	0	0	0	0	0	0	1
ENSG00000116661.9	FBXO2	25	39	60	32	44	56	40	55
ENSG00000132879.9	FBXO44	491	386	434	239	457	487	367	393
ENSG00000116663.6	FBXO6	106	110	125	75	108	122	134	129
ENSG00000116670.10	MAD2L2	333	378	352	233	362	483	263	318
ENSG00000162490.6	DRAXIN	4	3	4	0	3	0	1	1
ENSG00000177674.11	AGTRAP	504	869	658	775	457	1231	426	1035
ENSG00000215910.3	C1orf167	0	0	0	1	0	2	0	1
ENSG00000177553.6	RP11-56N19.5	0	0	0	0	0	0	0	0
ENSG00000177000.6	MTHFR	1296	1088	1381	706	1229	1090	1150	1220
ENSG00000011021.17	CLCN6	731	623	654	407	697	863	594	744
